officer_id,age,gender,marital_status,rank,unit,years_of_service,avg_weekly_hours,night_shift_ratio,overtime_hours_month,critical_incidents_last_year,trauma_exposure_index,sick_days_last_year,internal_complaints_last_2y,duty_satisfaction,work_env_rating,work_life_balance,mental_health_risk_flag,base_pay_band,promotion_last_3y,transfer_last_2y,posted_in_high_risk_area,attrition
1,27,Male,Married,Assistant Sub-Inspector,Special Operations,9.9,56.499581406555336,0.49,36.20748204256756,1,4.63,12,0,2,1,3,0,High,1,1,0,0
2,44,Male,Single,SP+,Patrol,28.9,54.521045166173494,0.43,13.618920614393346,1,1.02,6,0,4,4,5,0,High,0,0,0,0
3,38,Male,Married,Head Constable,Anti-Terror,11.8,56.685578597273754,0.55,24.77231252310534,5,12.82,7,0,4,4,2,0,Low,0,0,1,0
4,24,Male,Married,Sub-Inspector,Investigation,26.4,50.33943388770144,0.64,39.77960534299612,0,0.0,7,0,2,5,1,0,High,0,1,0,0
5,31,Male,Single,Constable,Cyber Crime,1.6,61.55205393654005,0.47,31.450778966474278,1,1.29,5,0,5,2,3,0,High,1,0,1,0
6,49,Female,Married,Assistant Sub-Inspector,Cyber Crime,22.0,77.85251850311077,0.39,25.042594379235958,0,0.0,2,0,5,3,1,0,Medium,0,1,1,0
7,21,Male,Married,Sub-Inspector,Traffic,35.0,75.89455369226536,0.55,25.81101757059553,1,1.4,2,0,2,4,2,0,Medium,0,0,1,0
8,33,Male,Married,Constable,Investigation,0.7,69.19204147469375,0.41,17.090423042038207,3,3.22,8,0,3,3,4,1,Low,0,0,0,0
9,46,Male,Married,Assistant Sub-Inspector,Patrol,5.8,67.85834625651488,0.32,54.03214170086442,1,1.42,3,0,4,3,2,0,Low,1,0,0,0
10,29,Male,Married,Sub-Inspector,Women & Child Protection,16.7,53.96682636435979,0.5,36.41360640479894,3,6.18,4,0,2,4,1,0,Low,0,0,0,0
11,31,Male,Single,Constable,Cyber Crime,12.2,57.834343739350125,0.63,51.85264709278403,2,1.63,5,0,1,3,2,0,Low,0,0,0,1
12,35,Female,Married,Assistant Sub-Inspector,Patrol,11.5,44.250454865765676,0.13,30.0869313710815,2,2.8,6,0,4,1,1,0,Low,0,0,0,0
13,48,Male,Married,Sub-Inspector,Anti-Terror,15.0,45.771792166977626,0.35,39.7073311901871,6,12.16,5,0,4,3,1,0,Medium,0,1,0,1
14,31,Female,Married,Head Constable,Women & Child Protection,30.2,56.54900973593177,0.54,35.143155120008096,4,9.96,5,0,4,3,3,0,Very High,0,0,1,0
15,32,Male,Married,Assistant Sub-Inspector,Traffic,21.7,77.10165429595095,0.17,22.30358915763758,4,3.43,6,1,4,2,3,0,Low,0,0,0,0
16,33,Male,Single,Inspector,Cyber Crime,14.8,48.85808732872907,0.47,29.900197754044317,2,1.55,4,0,4,2,2,0,High,0,1,0,0
17,54,Male,Single,Head Constable,Anti-Terror,22.1,44.80257329752848,0.16,24.11951694764938,2,5.08,5,0,2,3,2,0,Low,0,0,0,0
18,53,Male,Married,Assistant Sub-Inspector,Traffic,19.3,64.18084486515068,0.23,54.658224740404265,2,2.88,7,0,4,2,5,0,Low,0,0,0,0
19,44,Male,Single,Head Constable,Special Operations,6.5,60.9075727316942,0.48,46.89437268869221,9,13.69,7,0,1,3,2,0,Medium,0,0,0,0
20,39,Female,Married,Assistant Sub-Inspector,Intelligence,10.9,52.31632443286893,0.33,25.98828874219974,3,2.29,4,0,1,4,3,0,Medium,0,0,1,0
